Jugador,Signes,Resultats,Diferència gols,Posicions,Setzens de final,Encreuaments,Vuitfinalistes,Punts
Riky,48,15,23,35,27,2,6,4575
Andy,47,9,19,36,26,4,7,4520
Lluis,49,7,16,35,27,4,6,4485
Memo,48,8,17,32,26,5,8,4425
Pau,48,6,15,33,28,3,6,4415
Vila,47,8,16,35,27,4,5,4385
Lucas,48,5,16,32,27,4,5,4260
Aleix,41,11,20,32,26,2,6,4175
Akot,37,10,16,34,26,1,6,4125
Pol,46,8,18,27,27,2,6,4110
Uri,42,10,18,29,26,3,6,4060
Oscar,44,2,11,28,26,4,6,3955
Joan,41,7,14,27,28,1,5,3945
Sergi,43,7,12,26,26,1,6,3905
Miky,38,5,16,24,26,3,6,3700
Toni,34,4,12,28,25,1,6,3680
Marco,34,6,12,21,26,2,3,3290
